player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Bennie Fowler,2019,1,0.0,0,0,0.0,0.0,1.0
Bo Melton,2023,1,0.011,0,1,0.10430244484191156,0.011,1.0
Brandin Cooks,2017,11,5.006,3,7,0.6767303746692621,0.0,0.797
Brandin Cooks,2018,11,5.696,4,8,0.5723495435483459,0.0,0.985
Brandin Cooks,2019,5,0.294,0,2,0.4599608679007378,0.0,0.002
Brandin Cooks,2020,10,3.988,3,5,0.260491842482639,0.0,0.028
Brandin Cooks,2021,9,3.294,1,5,0.6257507491006303,0.0,0.341
Brandin Cooks,2022,10,1.758,1,3,0.5791683693020535,0.0,0.0
Brandin Cooks,2023,7,4.096,2,5,0.5905793765447622,0.0,0.994
Brandin Cooks,2024,4,0.006,0,1,0.07722693830523131,0.0,0.0
Brandon Aiyuk,2020,7,5.807,4,6,0.4095741691073791,0.0,1.0
Brandon Aiyuk,2021,7,3.21,1,5,0.6048966853934646,0.0,0.931
Brandon Aiyuk,2022,9,3.055,2,5,0.271983455379183,0.0,0.064
Brandon Aiyuk,2023,11,5.617,3,8,0.974838961059723,0.0,0.876
Brandon Aiyuk,2024,3,0.996,0,1,0.063118935352238,0.0,0.996
Brandon Coleman,2017,1,0.0,0,0,0.0,0.0,1.0
Brandon Johnson,2023,4,1.299,1,2,0.45781983355901046,0.0,0.299
Brandon LaFell,2017,10,1.518,1,3,0.5913340849299996,0.0,0.0
Brandon Marshall,2017,1,0.0,0,0,0.0,0.0,1.0
Brandon Powell,2018,1,0.994,0,1,0.07722693830523131,0.994,1.0
Brandon Powell,2022,1,0.0,0,0,0.0,0.0,1.0
Brandon Powell,2023,2,0.001,0,1,0.031606961258558226,0.0,0.001
Brandon Zylstra,2019,1,0.965,0,1,0.1837797594948911,0.965,1.0
Braxton Berrios,2020,3,0.0,0,0,0.0,0.0,0.0
Braxton Berrios,2021,2,1.691,1,2,0.4620811617021408,0.691,1.0
Braxton Berrios,2022,1,0.0,0,0,0.0,0.0,1.0
Braxton Berrios,2023,1,0.983,0,1,0.12927103310486848,0.983,1.0
Braxton Miller,2017,1,0.0,0,0,0.0,0.0,1.0
Breshad Perriman,2017,1,0.0,0,0,0.0,0.0,1.0
Breshad Perriman,2019,6,4.719,3,6,0.6841337588512936,0.129,1.0
Breshad Perriman,2020,4,1.021,1,2,0.14338409953687334,0.0,0.021
Breshad Perriman,2021,1,0.0,0,0,0.0,0.0,1.0
Bruce Ellington,2017,4,0.996,0,2,0.10947145746723208,0.0,0.004
Bruce Ellington,2018,2,0.0,0,0,0.0,0.0,0.0
Bryan Edwards,2021,2,0.001,0,1,0.03160696125855822,0.0,0.001
Byron Pringle,2021,3,1.019,1,2,0.13652472303579302,0.0,1.0
Calvin Ridley,2018,10,4.017,3,5,0.25828472660999524,0.0,0.042
Calvin Ridley,2019,10,4.677,3,7,0.7033285149913943,0.0,0.572
Calvin Ridley,2020,10,7.621,5,9,0.8181436304219448,0.0,1.0
Calvin Ridley,2021,2,0.048,0,1,0.2137662274541982,0.0,0.048
Calvin Ridley,2023,11,5.005,4,6,0.2386943652456002,0.0,0.974
Calvin Ridley,2024,13,3.136,2,5,0.4488919691863511,0.0,0.0
Cam Sims,2020,4,0.897,0,2,0.3104690000628082,0.0,0.002
Cedric Tillman,2023,4,0.0,0,0,0.0,0.0,0.0
Cedric Tillman,2024,4,2.995,2,3,0.07053367989832943,0.0,1.0
CeeDee Lamb,2020,10,5.678,3,7,0.536950649501423,0.0,0.972
CeeDee Lamb,2021,7,3.826,2,5,0.4021492260343168,0.0,0.998
CeeDee Lamb,2022,15,8.972,6,11,0.8586128347514961,0.0,0.992
CeeDee Lamb,2023,14,12.477,10,14,0.6398992108137032,0.001,1.0
CeeDee Lamb,2024,12,6.873,4,10,0.9710154478688792,0.0,0.927
Chad Beebe,2020,1,0.991,0,1,0.09444045743218316,0.991,1.0
Chad Williams,2018,3,0.002,0,1,0.044676615807377355,0.0,0.002
Chase Claypool,2020,9,2.822,2,4,0.42932039317973236,0.0,0.019
Chase Claypool,2021,8,2.021,1,4,0.42726923596252514,0.0,0.001
Chase Claypool,2022,7,1.018,1,2,0.132951118836962,0.0,0.0
Chester Rogers,2017,2,1.0,1,1,0.0,0.0,1.0
Chester Rogers,2018,5,2.833,1,3,0.386148934997884,0.0,0.995
Chester Rogers,2019,1,0.0,0,0,0.0,0.0,1.0
Chester Rogers,2021,1,0.0,0,0,0.0,0.0,1.0
Chris Conley,2018,5,1.077,1,2,0.26659144772479104,0.0,0.077
Chris Conley,2019,9,3.859,2,4,0.3648547656259953,0.0,0.865
Chris Conley,2020,2,0.0,0,0,0.0,0.0,0.0
Chris Godwin,2017,4,2.026,1,3,0.21754080077079793,0.0,0.989
Chris Godwin,2018,8,3.717,2,5,0.4805319968534874,0.0,0.729
Chris Godwin,2019,11,5.868,4,9,0.747379421712961,0.0,0.985
Chris Godwin,2020,7,3.05,1,6,0.7317786550590281,0.0,0.787
Chris Godwin,2021,10,4.017,4,5,0.12927103310486848,0.0,0.017
Chris Godwin,2022,11,3.136,1,5,0.46422408382159575,0.0,0.004
Chris Godwin,2023,14,4.745,3,7,0.5691880181451469,0.0,0.001
Chris Godwin,2024,4,1.031,1,3,0.1844966124350255,0.0,0.029
Chris Hogan,2017,4,0.809,0,2,0.42722242450508136,0.0,0.014
Chris Hogan,2018,2,0.001,0,1,0.03160696125855822,0.0,0.001
Chris Hogan,2020,1,0.0,0,0,0.0,0.0,1.0
Chris Moore,2022,6,1.967,1,3,0.19470747289202847,0.0,0.003
Chris Olave,2022,10,3.579,1,6,0.8942924577564098,0.0,0.145
Chris Olave,2023,13,4.479,2,7,0.9292787525818074,0.0,0.129
Chris Olave,2024,2,0.609,0,2,0.5657905973061058,0.041,0.568
Christian Blake,2019,1,0.0,0,0,0.0,0.0,1.0
Christian Kirk,2018,7,0.496,0,2,0.5195998460353891,0.0,0.0
Christian Kirk,2019,10,1.395,1,3,0.5486118846689342,0.0,0.0
Christian Kirk,2020,7,2.023,2,3,0.14990330216509573,0.0,0.023
Christian Kirk,2021,9,2.791,1,4,0.6821429468960301,0.0,0.143
Christian Kirk,2022,12,3.752,2,6,0.7539867372838862,0.0,0.014
Christian Kirk,2023,8,1.682,0,4,0.671473007648111,0.0,0.005
Christian Kirk,2024,3,0.947,0,1,0.22403347964087864,0.0,0.947
Christian Watson,2022,7,4.67,4,6,0.4723346271447818,0.0,1.0
Christian Watson,2023,4,2.0,2,2,0.0,0.0,1.0
Christian Watson,2024,4,0.121,0,1,0.3261272757682191,0.0,0.0
Cody Latimer,2017,1,0.0,0,0,0.0,0.0,1.0
Cody Latimer,2018,1,1.0,1,1,0.0,1.0,1.0
Cody Latimer,2019,2,0.996,0,1,0.063118935352238,0.0,0.996
Cole Beasley,2017,5,2.0,2,2,0.0,0.0,1.0
Cole Beasley,2018,8,2.001,2,3,0.03160696125855822,0.0,0.0
Cole Beasley,2019,9,3.544,2,6,0.8752508211935593,0.0,0.508
Cole Beasley,2020,8,3.991,2,5,0.8018222995152978,0.0,0.748
Cole Beasley,2021,7,1.719,0,2,0.45391519031642913,0.0,0.0
Collin Johnson,2020,2,1.343,1,2,0.4747114913292073,0.343,1.0
Cooper Kupp,2017,10,4.615,2,6,0.5854698967496109,0.0,0.657
Cooper Kupp,2018,4,2.993,2,3,0.08337265738837882,0.0,1.0
Cooper Kupp,2019,9,5.094,4,7,0.5207340972127713,0.0,1.0
Cooper Kupp,2020,12,2.683,1,4,0.6453766342222191,0.0,0.0
Cooper Kupp,2021,13,12.078,9,13,0.7999474982772306,0.323,1.0
Cooper Kupp,2022,6,4.954,4,5,0.20948508300115307,0.0,1.0
Cooper Kupp,2023,8,2.806,1,5,0.693082967616432,0.0,0.153
Cooper Kupp,2024,6,3.778,2,5,0.607219894272248,0.0,0.987
Corey Coleman,2017,4,0.991,0,2,0.11366177897604805,0.0,0.002
Corey Davis,2017,5,0.219,0,1,0.41356861583055354,0.0,0.0
Corey Davis,2018,8,2.653,2,4,0.48227689142234464,0.0,0.003
Corey Davis,2019,7,2.0,2,2,0.0,0.0,0.0
Corey Davis,2020,6,3.889,3,5,0.5573858627557753,0.0,1.0
Corey Davis,2021,4,1.613,1,3,0.5415080793487758,0.0,0.585
Corey Davis,2022,3,1.034,0,2,0.2069879223529721,0.0,0.995
Courtland Sutton,2018,8,2.049,1,4,0.26570472333024114,0.0,0.001
Courtland Sutton,2019,13,5.004,4,7,0.3898512536852998,0.0,0.074
Courtland Sutton,2021,6,2.003,2,3,0.054690035655501276,0.0,0.003
Courtland Sutton,2022,9,0.875,0,3,0.6044625712151249,0.0,0.0
Courtland Sutton,2023,8,3.583,1,6,0.6656658320809323,0.0,0.531
Courtland Sutton,2024,13,7.212,4,10,0.9995278885553919,0.0,0.958
Curtis Samuel,2017,2,0.0,0,0,0.0,0.0,0.0
