player,season,weeks_played,avg_hits,min_hits,max_hits,std_hits,p_hit_all_weeks,p_hit_half_or_more
Bo Melton,2023,1,0.001,0,1,0.03160696125855822,0.001,1.0
Brandin Cooks,2017,11,4.145,2,6,0.8221769882452318,0.0,0.338
Brandin Cooks,2018,11,5.118,3,7,0.6870778704048035,0.0,0.837
Brandin Cooks,2019,5,0.03,0,1,0.1705872210923198,0.0,0.0
Brandin Cooks,2020,10,3.526,2,5,0.5597535171841264,0.0,0.007
Brandin Cooks,2021,9,2.542,1,4,0.6482561222233076,0.0,0.041
Brandin Cooks,2022,10,1.167,1,3,0.3783001453872309,0.0,0.0
Brandin Cooks,2023,7,2.936,1,5,0.7796819864534514,0.0,0.714
Brandin Cooks,2024,4,0.0,0,0,0.0,0.0,0.0
Brandon Aiyuk,2020,7,4.342,1,6,0.9669725952683458,0.0,0.967
Brandon Aiyuk,2021,7,2.196,0,4,0.71804178151414,0.0,0.343
Brandon Aiyuk,2022,9,2.911,2,4,0.3179292374098362,0.0,0.01
Brandon Aiyuk,2023,11,4.199,3,7,0.9007768869148453,0.0,0.345
Brandon Aiyuk,2024,3,0.978,0,1,0.14668333238647124,0.0,0.978
Brandon Coleman,2017,1,0.0,0,0,0.0,0.0,1.0
Brandon Johnson,2023,4,1.031,0,2,0.1789944133206397,0.0,0.032
Brandon LaFell,2017,10,1.031,1,3,0.1789944133206397,0.0,0.0
Brandon Marshall,2017,1,0.0,0,0,0.0,0.0,1.0
Brandon Powell,2018,1,0.825,0,1,0.3799671038392667,0.825,1.0
Brandon Powell,2022,1,0.0,0,0,0.0,0.0,1.0
Brandon Powell,2023,2,0.0,0,0,0.0,0.0,0.0
Brandon Zylstra,2019,1,0.523,0,1,0.4994707198625361,0.523,1.0
Braxton Berrios,2020,3,0.0,0,0,0.0,0.0,0.0
Braxton Berrios,2021,2,1.074,1,2,0.2617708921939183,0.074,1.0
Braxton Berrios,2022,1,0.0,0,0,0.0,0.0,1.0
Braxton Berrios,2023,1,0.643,0,1,0.4791148087880398,0.643,1.0
Braxton Miller,2017,1,0.0,0,0,0.0,0.0,1.0
Breshad Perriman,2017,1,0.0,0,0,0.0,0.0,1.0
Breshad Perriman,2019,6,3.807,1,6,0.58459473141656,0.002,0.996
Breshad Perriman,2020,4,1.005,1,2,0.07053367989832944,0.0,0.005
Breshad Perriman,2021,1,0.0,0,0,0.0,0.0,1.0
Bruce Ellington,2017,4,0.711,0,2,0.4554986278793824,0.0,0.001
Bruce Ellington,2018,2,0.0,0,0,0.0,0.0,0.0
Bryan Edwards,2021,2,0.0,0,0,0.0,0.0,0.0
Byron Pringle,2021,3,1.004,1,2,0.063118935352238,0.0,1.0
Calvin Ridley,2018,10,3.659,1,5,0.5354614832086432,0.0,0.003
Calvin Ridley,2019,10,3.953,2,6,0.5203758257259843,0.0,0.106
Calvin Ridley,2020,10,6.52,4,9,0.8588364221433555,0.0,0.996
Calvin Ridley,2021,2,0.008,0,1,0.08908422980528033,0.0,0.008
Calvin Ridley,2023,11,4.912,4,6,0.313458131175441,0.0,0.903
Calvin Ridley,2024,13,2.702,1,4,0.5488132651458053,0.0,0.0
Cam Sims,2020,4,0.23,0,1,0.42083250825001633,0.0,0.0
Cedric Tillman,2023,4,0.0,0,0,0.0,0.0,0.0
Cedric Tillman,2024,4,2.756,1,3,0.45217695651149675,0.0,0.99
CeeDee Lamb,2020,10,4.45,2,6,0.8279492738084866,0.0,0.49
CeeDee Lamb,2021,7,3.491,2,5,0.5512884907196958,0.0,0.975
CeeDee Lamb,2022,15,7.554,4,10,1.0213148388229754,0.0,0.852
CeeDee Lamb,2023,14,11.634,8,13,0.8497317223688898,0.0,1.0
CeeDee Lamb,2024,12,5.633,3,9,1.0480033396893351,0.0,0.533
Chad Beebe,2020,1,0.774,0,1,0.41823916602824274,0.774,1.0
Chad Williams,2018,3,0.0,0,0,0.0,0.0,0.0
Chase Claypool,2020,9,2.312,2,4,0.4654632101466238,0.0,0.001
Chase Claypool,2021,8,1.513,0,3,0.5175239124910076,0.0,0.0
Chase Claypool,2022,7,1.003,1,2,0.05469003565550128,0.0,0.0
Chester Rogers,2017,2,1.0,1,1,0.0,0.0,1.0
Chester Rogers,2018,5,1.674,0,3,0.6839035019650068,0.0,0.596
Chester Rogers,2019,1,0.0,0,0,0.0,0.0,1.0
Chester Rogers,2021,1,0.0,0,0,0.0,0.0,1.0
Chris Conley,2018,5,1.003,1,2,0.05469003565550128,0.0,0.003
Chris Conley,2019,9,2.838,2,4,0.7055182492324349,0.0,0.181
Chris Conley,2020,2,0.0,0,0,0.0,0.0,0.0
Chris Godwin,2017,4,1.781,1,3,0.41837662458603014,0.0,0.779
Chris Godwin,2018,8,2.597,2,4,0.6054675879021106,0.0,0.063
Chris Godwin,2019,11,5.105,3,7,0.6942441933498616,0.0,0.837
Chris Godwin,2020,7,2.137,1,4,0.5331331916135028,0.0,0.194
Chris Godwin,2021,10,4.002,3,5,0.07743384273042375,0.0,0.004
Chris Godwin,2022,11,2.654,1,4,0.5952176072664518,0.0,0.0
Chris Godwin,2023,14,3.836,1,6,0.7675311068614744,0.0,0.0
Chris Godwin,2024,4,1.005,1,2,0.07053367989832943,0.0,0.005
Chris Hogan,2017,4,0.267,0,1,0.44239235978936164,0.0,0.0
Chris Hogan,2018,2,0.001,0,1,0.03160696125855822,0.0,0.001
Chris Hogan,2020,1,0.0,0,0,0.0,0.0,1.0
Chris Moore,2022,6,1.405,0,2,0.5009740512242126,0.0,0.0
Chris Olave,2022,10,2.161,0,4,0.7246233504380052,0.0,0.0
Chris Olave,2023,13,3.222,1,6,0.8079084106506133,0.0,0.004
Chris Olave,2024,2,0.232,0,2,0.429157313813944,0.003,0.229
Christian Blake,2019,1,0.0,0,0,0.0,0.0,1.0
